episode,reward
0,"[-0.201, 0.0925, 0.1085]"
500,"[-0.21275, 0.693, -0.48025]"
1000,"[0.18175, 0.164, -0.34575]"
1500,"[0.2655, -0.0165, -0.249]"
2000,"[0.772, 0.251, -1.023]"
2500,"[0.9915, 0.6635, -1.655]"
3000,"[0.22475, -0.57725, 0.3525]"
3500,"[-0.51275, 0.406, 0.10675]"
4000,"[0.743, -0.03925, -0.70375]"
4500,"[0.4835, -0.018, -0.4655]"
5000,"[-0.239, 0.59775, -0.35875]"
5500,"[0.47925, -0.31125, -0.168]"
6000,"[0.26, 0.23475, -0.49475]"
6500,"[-0.05125, -0.39625, 0.4475]"
7000,"[0.16675, 0.522, -0.68875]"
7500,"[1.04, -1.029, -0.011]"
8000,"[-0.178, 0.29375, -0.11575]"
8500,"[-0.6145, 0.41125, 0.20325]"
9000,"[-0.2415, 0.31325, -0.07175]"
9500,"[0.4845, 0.07075, -0.55525]"
10000,"[0.2215, 0.65825, -0.87975]"
10500,"[0.877, 0.32625, -1.20325]"
11000,"[-0.81425, 0.8405, -0.02625]"
11500,"[0.60175, 0.34775, -0.9495]"
12000,"[0.0585, 0.123, -0.1815]"
12500,"[0.3135, 0.3205, -0.634]"
13000,"[0.37375, 0.3265, -0.70025]"
13500,"[0.02325, 1.042, -1.06525]"
14000,"[0.709, -0.34625, -0.36275]"
14500,"[-0.46975, 0.391, 0.07875]"
15000,"[0.4025, 0.25825, -0.66075]"
15500,"[-1.10525, 1.35175, -0.2465]"
16000,"[0.061, 0.10025, -0.16125]"
16500,"[0.195, -0.59625, 0.40125]"
17000,"[-0.00975, 0.433, -0.42325]"
17500,"[0.02925, 0.6315, -0.66075]"
18000,"[0.51675, 0.498, -1.01475]"
18500,"[-0.09825, 0.70125, -0.603]"
19000,"[0.21675, 0.16975, -0.3865]"
19500,"[0.23075, 0.964, -1.19475]"
20000,"[-0.195, 0.03825, 0.15675]"
20500,"[0.38625, 0.23075, -0.617]"
21000,"[0.1165, -0.141, 0.0245]"
21500,"[0.68625, -0.311, -0.37525]"
22000,"[0.001, 0.35025, -0.35125]"
22500,"[0.20275, 0.19725, -0.4]"
23000,"[0.75875, 0.16875, -0.9275]"
23500,"[-0.02275, 0.308, -0.28525]"
24000,"[-0.23925, 0.5675, -0.32825]"
24500,"[0.567, 0.02875, -0.59575]"
25000,"[0.363, -0.4905, 0.1275]"
25500,"[0.83525, -0.32975, -0.5055]"
26000,"[0.256, 0.77275, -1.02875]"
26500,"[0.8695, 0.44525, -1.31475]"
27000,"[0.89625, -0.0595, -0.83675]"
27500,"[1.196, -0.36025, -0.83575]"
28000,"[0.0685, 1.14125, -1.20975]"
28500,"[-0.51775, 1.16425, -0.6465]"
29000,"[1.00175, 0.19675, -1.1985]"
29500,"[1.04425, -0.1135, -0.93075]"
30000,"[0.7835, 0.319, -1.1025]"
30500,"[0.696, -0.38525, -0.31075]"
31000,"[-0.393, 0.5235, -0.1305]"
31500,"[0.2855, 0.69575, -0.98125]"
32000,"[-0.65225, 0.47025, 0.182]"
32500,"[0.47425, 0.01575, -0.49]"
33000,"[-0.40325, 0.452, -0.04875]"
33500,"[-0.49025, 1.0735, -0.58325]"
34000,"[0.4135, -0.41, -0.0035]"
34500,"[2.2005, -0.929, -1.2715]"
35000,"[0.92025, -0.794, -0.12625]"
35500,"[-0.3495, -0.0165, 0.366]"
36000,"[0.85325, 0.229, -1.08225]"
36500,"[0.7595, 0.35725, -1.11675]"
37000,"[0.05775, 0.7255, -0.78325]"
37500,"[0.30175, -0.007, -0.29475]"
38000,"[-0.082, -0.5315, 0.6135]"
38500,"[-0.2165, 0.47, -0.2535]"
39000,"[-0.14225, 0.5825, -0.44025]"
39500,"[-0.17275, 0.2965, -0.12375]"
40000,"[-0.14225, 1.0275, -0.88525]"
40500,"[0.4855, 0.48675, -0.97225]"
41000,"[-0.1555, 0.16575, -0.01025]"
41500,"[-0.49025, 1.341, -0.85075]"
42000,"[0.1185, -0.34425, 0.22575]"
42500,"[0.31575, 0.297, -0.61275]"
43000,"[-0.42925, 0.56625, -0.137]"
43500,"[0.2235, 0.62425, -0.84775]"
44000,"[0.58575, 0.50975, -1.0955]"
44500,"[-0.94275, 0.58825, 0.3545]"
45000,"[0.23775, -0.31225, 0.0745]"
45500,"[0.2035, 0.36625, -0.56975]"
46000,"[-0.71575, 0.51275, 0.203]"
46500,"[-0.20975, 1.026, -0.81625]"
47000,"[0.641, -0.43175, -0.20925]"
47500,"[-0.04875, -0.4495, 0.49825]"
48000,"[0.652, -0.42575, -0.22625]"
48500,"[-0.05675, 0.644, -0.58725]"
49000,"[0.674, 0.24425, -0.91825]"
49500,"[1.11775, -0.249, -0.86875]"
50000,"[1.00225, -0.273, -0.72925]"
50500,"[-1.167, 0.8585, 0.3085]"
51000,"[-0.157, 0.05975, 0.09725]"
51500,"[0.705, 0.23575, -0.94075]"
52000,"[1.1545, 0.41425, -1.56875]"
52500,"[-0.09575, 0.94675, -0.851]"
53000,"[0.491, 0.4925, -0.9835]"
53500,"[0.40175, -0.1265, -0.27525]"
54000,"[-0.14375, 1.19325, -1.0495]"
54500,"[0.8855, -0.9355, 0.05]"
55000,"[0.2865, -0.1165, -0.17]"
55500,"[-0.13875, 1.12525, -0.9865]"
56000,"[1.1785, 0.16525, -1.34375]"
56500,"[1.05725, -0.469, -0.58825]"
57000,"[0.38275, 0.37875, -0.7615]"
57500,"[-0.12125, 0.23325, -0.112]"
58000,"[0.2705, 0.106, -0.3765]"
58500,"[0.31275, 1.4555, -1.76825]"
59000,"[0.70175, 0.18275, -0.8845]"
59500,"[0.6955, 0.98725, -1.68275]"
60000,"[-0.05575, 0.6645, -0.60875]"
60500,"[0.493, 0.32875, -0.82175]"
61000,"[0.1475, 0.34725, -0.49475]"
61500,"[0.11425, 0.57, -0.68425]"
62000,"[0.1515, -0.021, -0.1305]"
62500,"[0.853, -0.64275, -0.21025]"
63000,"[-0.75825, 0.831, -0.07275]"
63500,"[0.042, 0.596, -0.638]"
64000,"[0.5495, 0.437, -0.9865]"
64500,"[0.20775, 0.6475, -0.85525]"
