episode,reward
0,"[0.36625, -0.36625]"
500,"[0.30425, -0.30425]"
1000,"[0.3405, -0.3405]"
1500,"[0.28525, -0.28525]"
2000,"[0.2855, -0.2855]"
2500,"[0.15725, -0.15725]"
3000,"[0.03125, -0.03125]"
3500,"[0.22425, -0.22425]"
4000,"[0.28425, -0.28425]"
4500,"[0.32, -0.32]"
5000,"[0.0955, -0.0955]"
5500,"[0.15325, -0.15325]"
6000,"[0.31525, -0.31525]"
6500,"[0.08425, -0.08425]"
7000,"[0.2235, -0.2235]"
7500,"[0.2475, -0.2475]"
8000,"[0.29625, -0.29625]"
8500,"[0.37175, -0.37175]"
9000,"[0.16025, -0.16025]"
9500,"[0.317, -0.317]"
10000,"[0.0665, -0.0665]"
10500,"[0.19, -0.19]"
11000,"[0.22475, -0.22475]"
11500,"[0.22075, -0.22075]"
12000,"[0.27025, -0.27025]"
12500,"[0.301, -0.301]"
13000,"[0.3565, -0.3565]"
13500,"[0.254, -0.254]"
14000,"[0.29725, -0.29725]"
14500,"[0.3575, -0.3575]"
15000,"[0.414, -0.414]"
15500,"[0.176, -0.176]"
16000,"[0.11325, -0.11325]"
16500,"[0.22575, -0.22575]"
17000,"[0.282, -0.282]"
17500,"[0.17375, -0.17375]"
18000,"[0.273, -0.273]"
18500,"[0.3165, -0.3165]"
19000,"[0.33225, -0.33225]"
19500,"[0.2275, -0.2275]"
20000,"[0.201, -0.201]"
20500,"[0.4385, -0.4385]"
21000,"[0.31075, -0.31075]"
21500,"[0.2305, -0.2305]"
22000,"[0.325, -0.325]"
22500,"[0.25575, -0.25575]"
23000,"[0.40925, -0.40925]"
23500,"[0.1455, -0.1455]"
24000,"[0.26275, -0.26275]"
24500,"[0.297, -0.297]"
25000,"[0.27075, -0.27075]"
25500,"[0.09925, -0.09925]"
26000,"[0.104, -0.104]"
26500,"[0.2705, -0.2705]"
27000,"[0.132, -0.132]"
27500,"[0.09675, -0.09675]"
28000,"[0.2875, -0.2875]"
28500,"[0.1625, -0.1625]"
29000,"[0.232, -0.232]"
29500,"[0.1965, -0.1965]"
30000,"[0.163, -0.163]"
30500,"[0.155, -0.155]"
31000,"[0.28025, -0.28025]"
31500,"[0.3445, -0.3445]"
32000,"[0.141, -0.141]"
32500,"[0.1435, -0.1435]"
33000,"[0.35775, -0.35775]"
33500,"[0.30325, -0.30325]"
34000,"[0.13575, -0.13575]"
34500,"[0.3675, -0.3675]"
35000,"[0.31575, -0.31575]"
35500,"[0.308, -0.308]"
36000,"[0.3165, -0.3165]"
36500,"[0.13825, -0.13825]"
37000,"[0.40675, -0.40675]"
37500,"[0.338, -0.338]"
38000,"[0.19025, -0.19025]"
38500,"[0.3185, -0.3185]"
39000,"[0.15175, -0.15175]"
39500,"[0.1925, -0.1925]"
40000,"[0.19125, -0.19125]"
40500,"[0.07875, -0.07875]"
41000,"[0.1975, -0.1975]"
41500,"[0.34575, -0.34575]"
42000,"[0.27, -0.27]"
42500,"[0.34025, -0.34025]"
43000,"[0.207, -0.207]"
43500,"[0.13625, -0.13625]"
44000,"[0.13925, -0.13925]"
44500,"[0.1355, -0.1355]"
45000,"[0.3015, -0.3015]"
45500,"[0.31425, -0.31425]"
46000,"[0.3135, -0.3135]"
46500,"[0.394, -0.394]"
47000,"[0.0925, -0.0925]"
47500,"[0.496, -0.496]"
48000,"[0.17025, -0.17025]"
48500,"[0.30825, -0.30825]"
49000,"[0.21, -0.21]"
49500,"[0.2215, -0.2215]"
50000,"[0.39075, -0.39075]"
50500,"[0.0965, -0.0965]"
51000,"[0.17425, -0.17425]"
51500,"[0.262, -0.262]"
52000,"[0.05975, -0.05975]"
52500,"[0.46475, -0.46475]"
53000,"[0.17025, -0.17025]"
53500,"[0.293, -0.293]"
54000,"[0.16775, -0.16775]"
54500,"[0.047, -0.047]"
55000,"[0.353, -0.353]"
55500,"[0.15075, -0.15075]"
56000,"[0.21775, -0.21775]"
56500,"[0.19475, -0.19475]"
57000,"[0.08425, -0.08425]"
57500,"[0.28175, -0.28175]"
58000,"[0.36, -0.36]"
58500,"[0.23875, -0.23875]"
59000,"[0.10225, -0.10225]"
59500,"[0.12125, -0.12125]"
60000,"[0.36275, -0.36275]"
60500,"[0.179, -0.179]"
61000,"[0.334, -0.334]"
61500,"[0.28, -0.28]"
62000,"[0.28175, -0.28175]"
62500,"[0.28225, -0.28225]"
63000,"[0.16225, -0.16225]"
63500,"[0.1375, -0.1375]"
64000,"[0.28075, -0.28075]"
64500,"[0.2585, -0.2585]"
